trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.05, 'e': 0.0005530843701478336}",30,13,30.632787599991655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.05, 'e': 0.0005261101271160632}",30,23,13.053375380029824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.05, 'e': 0.0005004514334406104}",25,11,24.004625876193515,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.00047604412902226933}",30,12,32.045570849625484,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.00045282718288679695}",25,11,20.445862852013974,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.00043074254057568753}",30,24,8.124139758175394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.00040973497897978643}",35,18,26.22036247520449,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.0003897519682527545}",20,16,5.751963045565758,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.05, 'e': 0.0003707435404590882}",20,6,22.1589734422915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.05, 'e': 0.00035266216462825575}",20,0,24.032562112511556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.05, 'e': 0.00033546262790251185}",20,0,26.403150966011797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.05, 'e': 0.00031910192248120326}",20,16,7.105684728640766,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.0003035391380788668}",25,3,31.67706453441108,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.000288735359628203}",20,5,22.16485250419649,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.05, 'e': 0.00027465356997214205}",20,12,14.148502691400578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.00026125855730166754}",20,1,28.770474614452564,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.00024851682710795185}",30,12,19.87315189381665,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.05, 'e': 0.00023639651842864072}",30,7,36.116654935335,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.0002248673241788482}",20,0,30.55856344378232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.05, 'e': 0.0002139004153676611}",25,10,30.453872081070326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.05, 'e': 0.00020346836901064417}",30,0,39.461874521513025,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.05, 'e': 0.00019354509955809383}",25,16,17.599953401635624,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.0001841057936675792}",25,14,20.974447919033157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.00017512684815765842}",20,3,26.047653894511964,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.00016658581098763324}",20,11,15.45576237190269,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.00015846132511575126}",25,6,28.507740584466323,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.0001507330750954765}",35,18,24.050643415941533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.00014338173627629318}",20,2,28.401439349977196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.0001363889264820114}",30,9,39.51943728659246,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.05, 'e': 0.0001297371600457538}",20,0,29.776020414749976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.05, 'e': 0.00012340980408667956}",25,5,32.72407356166813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
