trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.05, 'e': 0.0862935864993705}",20,2,22.669002088585508,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.0820849986238988}",25,0,20.58650521746136,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.05, 'e': 0.07808166600115313}",20,0,31.793466482092832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.05, 'e': 0.07427357821433388}",25,14,8.108273922078052,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.05, 'e': 0.07065121306042957}",20,7,11.373582182885086,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.06720551273974976}",20,0,18.778459001227564,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.06392786120670757}",30,6,34.75473347045172,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.06081006262521795}",20,11,19.660479913738403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.05, 'e': 0.057844320874838456}",30,5,17.000209684647018,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.05502322005640721}",35,25,18.656296492321335,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.05, 'e': 0.05233970594843238}",25,8,25.15315182985982,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.049787068367863944}",20,11,21.45116423590455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.05, 'e': 0.04735892439114091}",35,0,4.954827144646129,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.05, 'e': 0.0450492023935578}",20,16,5.698592665807152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.05, 'e': 0.042852126867040166}",20,3,11.440036341960838,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.05, 'e': 0.04076220397836621}",25,18,15.251409364516384,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.05, 'e': 0.03877420783172201}",25,5,34.221092213294305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.05, 'e': 0.036883167401239994}",30,10,-15.503135354241682,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.05, 'e': 0.035084354100845025}",20,0,24.03143976609162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.05, 'e': 0.033373269960326066}",25,0,24.36340499805347,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.05, 'e': 0.03174563637806794}",20,14,8.9944621328916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.05, 'e': 0.0301973834223185}",25,17,12.011571975867167,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.028724639654239423}",30,12,11.779628906076864,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.05, 'e': 0.02732372244729256}",25,8,27.945071294766173,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.025991128778755333}",20,10,19.149567120911698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.05, 'e': 0.024723526470339388}",30,16,4.950967862989799,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.05, 'e': 0.023517745856009107}",25,0,22.740392375343248,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.05, 'e': 0.02237077185616559}",20,11,16.098508913965265,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.05, 'e': 0.02127973643837717}",20,0,28.281254391139278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.02024191144580438}",25,18,15.61362719542809,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.05, 'e': 0.01925470177538692}",20,0,27.802452214673846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.05, 'e': 0.01831563888873418}",30,5,38.25740063377397,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.05, 'e': 0.017422374639493515}",25,11,22.114091420735733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05, 'e': 0.016572675401761237}",20,6,25.730869193813195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.015764416484854486}",30,4,41.65499780120043,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.014995576820477703}",30,11,32.622953396440415,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.05, 'e': 0.014264233908999256}",25,9,29.102819653419314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.013568559012200934}",20,4,20.366891663163244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.012906812580479862}",30,0,36.76809143721818,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.05, 'e': 0.012277339903068436}",20,15,9.586259668062915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.011678566970395442}",20,0,16.021063113380986,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.05, 'e': 0.011108996538242306}",20,0,24.208472874649228,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.05, 'e': 0.010567204383852655}",20,14,10.602999326555269,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.010051835744633576}",20,11,16.198583887120044,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.009561601930543505}",35,20,27.689494895995082,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.009095277101695816}",25,6,29.661356877771468,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.008651695203120634}",20,7,22.645197559131805,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.008229747049020023}",30,1,48.72103922380545,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.007828377549225767}",20,11,15.541261270406128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.007446583070924338}",20,14,11.902688514203593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.0070834089290521185}",25,7,27.81170791034896,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.05, 'e': 0.006737946999085467}",20,2,27.011805072249786,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.05, 'e': 0.006409333446256377}",25,4,16.870546403143116,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.006096746565515633}",25,8,22.74313402329172,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.005799404726842141}",20,0,32.9829301853151,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.05, 'e': 0.0055165644207607716}",20,3,23.59148572634576,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.05, 'e': 0.005247518399181385}",20,3,29.95393696648287,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.05, 'e': 0.004991593906910213}",30,6,26.23961770871665,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.05, 'e': 0.004748150999411473}",25,19,5.773813927255013,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.05, 'e': 0.004516580942612666}",30,16,21.455848398349776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
